competition_id,name,type,country_name
CIT,italy-cup,domestic_cup,Italy
NLSC,johan-cruijff-schaal,other,Netherlands
GRP,kypello-elladas,domestic_cup,Greece
POSU,supertaca-candido-de-oliveira,other,Portugal
RUSS,russian-super-cup,other,Russia
SUC,supercopa,other,Spain

FR1, Ligue 1,domestic_league,France
GB1,Premier League ,domestic_league,England


DK1,superligaen,domestic_league,Denmark
ES1,laliga,domestic_league,Spain
FR1,ligue-1,domestic_league,France
IT1,serie-a,domestic_league,Italy
NL1,eredivisie,domestic_league,Netherlands
RUP,russian-cup,domestic_cup,Russia
PO1,liga-portugal-bwin,domestic_league,Portugal
BESC,belgian-supercup,other,Belgium
GB1,premier-league,domestic_league,England
CGB,efl-cup,other,England
DKP,sydbank-pokalen,domestic_cup,Denmark
FAC,fa-cup,domestic_cup,England
NLP,toto-knvb-beker,domestic_cup,Netherlands
UKRS,ukrainian-super-cup,other,Ukraine
UKR1,premier-liga-ukraine,domestic_league,Ukraine
CDR,copa-del-rey,domestic_cup,Spain
GR1,super-league-1,domestic_league,Greece
TR1,super-lig,domestic_league,Turkey
POCP,allianz-cup,domestic_cup,Portugal
GBCS,community-shield,other,England
L1,bundesliga,domestic_league,Germany
RU1,premier-liga-russia,domestic_league,Russia
SC1,scottish-premiership,domestic_league,Scotland
SCI,supercoppa-italiana,other,Italy
BE1,jupiler-pro-league,domestic_league,Belgium
DFL,dfl-supercup,other,Germany
SFA,sfa-cup,domestic_cup,Scotland
UKRP,ukrainian-cup,domestic_cup,Ukraine
DFB,dfb-pokal,domestic_cup,Germany
FRCH,trophee-des-champions,other,France
USC,uefa-super-cup,other,
EL,europa-league,international_cup,
ELQ,europa-league-qualifikation,international_cup,
ECLQ,uefa-europa-conference-league-qualifikation,international_cup,
CL,uefa-champions-league,international_cup,
KLUB,fifa-klub-wm,other,
CLQ,uefa-champions-league-qualifikation,international_cup,
